股票代號,買進日期,賣出日期,買進價格,賣出價格,做多機率(買進時),做空機率(賣出時),報酬率,賣出原因
3081,2025-02-04,2025-02-10,485.0,488.0,0.7623000144958496,N/A (被擠出),0.0003,滿檔換股
8096,2025-02-10,2025-02-21,55.0,73.0,0.7721,N/A (被擠出),0.3195,滿檔換股
2049,2025-02-21,2025-03-10,356.5,290.0,0.8289999961853027,N/A (價格觸發),-0.1913,高點回落20%停損
4763,2025-03-11,2025-03-27,1100.0,904.0,0.8203,N/A (價格觸發),-0.183,高點回落20%停損
5530,2025-03-28,2025-04-01,76.4,75.1,0.7314,N/A (被擠出),-0.0228,滿檔換股
6719,2025-04-01,2025-04-02,182.0,187.0,0.7419,N/A (被擠出),0.0215,滿檔換股
5530,2025-04-02,2025-04-08,75.6,73.7,0.7538999915122986,N/A (被擠出),-0.0308,滿檔換股
3211,2025-04-08,2025-07-21,142.0,222.0,0.8411999940872192,N/A (被擠出),0.5542,滿檔換股
3017,2025-07-21,2025-08-13,892.0,1120.0,0.8524,N/A (被擠出),0.2483,滿檔換股
3081,2025-08-13,2025-10-13,402.0,417.0,0.8663,N/A (價格觸發),0.0313,高點回落20%停損
6139,2025-10-14,2025-12-17,437.0,610.0,0.8284000158309937,N/A (被擠出),0.3877,滿檔換股
4931,2025-12-17,2026-01-12,174.0,159.2,0.864,N/A (價格觸發),-0.0904,高點回落20%停損
0052,2026-01-13,2026-01-21,41.33,42.11,0.8226,N/A (被擠出),0.0129,滿檔換股
2303,2026-01-21,2026-01-30,70.9,63.76,0.8684,N/A (價格觸發),-0.106,高點回落20%停損
8110,2026-02-02,2026-02-04,76.2,66.6,0.7843,N/A (被擠出),-0.1311,滿檔換股
1519,2026-02-04,2026-02-10,939.0,966.0,0.8129000067710876,N/A (被擠出),0.0227,滿檔換股
8299,2026-02-10,2026-03-04,1925.0,1695.0,0.8308,N/A (被擠出),-0.1246,滿檔換股
6285,2026-03-04,2026-04-23,169.5,219.6,0.8339,N/A (價格觸發),0.288,高點回落20%停損
6830,2026-04-24,2026-04-27,782.0,723.0,0.7735,N/A (被擠出),-0.0808,滿檔換股
8358,2026-04-27,2026-04-29,370.0,355.0,0.7878,N/A (被擠出),-0.0461,滿檔換股
4991,2026-04-29,2026-04-30,631.0,644.0,0.8071,N/A (被擠出),0.0146,滿檔換股
8358,2026-04-30,2026-05-15,374.0,400.0,0.8289,N/A (價格觸發),0.0633,高點回落20%停損
00878,2026-05-18,2026-05-25,27.68,28.86,0.8108,N/A (被擠出),0.0365,滿檔換股
6456,2026-05-25,2026-05-26,78.0,76.0,0.8118,N/A (被擠出),-0.0313,滿檔換股
6271,2026-05-26,2026-05-29,247.5,247.0,0.8603000044822693,N/A,-0.0079,期末平倉
