股票代號,買進日期,賣出日期,買進價格,賣出價格,做多機率(買進時),做空機率(賣出時),報酬率,賣出原因
3081,2025-02-04,2025-02-06,485.0,469.0,0.7670000195503235,N/A (被擠出),-0.0386,滿檔換股
2233,2025-02-06,2025-02-10,229.0,240.5,0.7729,N/A (被擠出),0.0441,滿檔換股
8096,2025-02-10,2025-02-21,55.0,73.0,0.7823,N/A (被擠出),0.3195,滿檔換股
2049,2025-02-21,2025-03-10,356.5,290.0,0.8085,N/A (價格觸發),-0.1913,高點回落20%停損
4763,2025-03-11,2025-03-27,1100.0,904.0,0.8033,N/A (價格觸發),-0.183,高點回落20%停損
5530,2025-03-28,2025-04-08,76.4,73.7,0.7652000188827515,N/A (被擠出),-0.041,滿檔換股
3211,2025-04-08,2025-05-15,142.0,202.5,0.8119999766349792,N/A (被擠出),0.4177,滿檔換股
2408,2025-05-15,2025-07-02,45.45,49.2,0.8349999785423279,N/A (價格觸發),0.0762,高點回落20%停損
2374,2025-07-03,2025-07-04,55.0,53.8,0.7797,N/A (被擠出),-0.0275,滿檔換股
6719,2025-07-04,2025-07-14,204.0,202.5,0.78,N/A (被擠出),-0.0132,滿檔換股
8046,2025-07-14,2025-07-21,144.5,170.5,0.8008999824523926,N/A (被擠出),0.173,滿檔換股
3017,2025-07-21,2025-08-06,892.0,989.0,0.8023,N/A (被擠出),0.1023,滿檔換股
3081,2025-08-06,2025-10-13,393.0,417.0,0.8705000281333923,N/A (價格觸發),0.0549,高點回落20%停損
0050,2025-10-14,2025-11-28,61.85,61.95,0.8471999764442444,N/A (被擠出),-0.0042,滿檔換股
3163,2025-11-28,2025-12-17,291.5,352.0,0.8479,N/A (被擠出),0.2005,滿檔換股
4931,2025-12-17,2026-01-12,174.0,159.2,0.8595,N/A (價格觸發),-0.0904,高點回落20%停損
0052,2026-01-13,2026-01-19,41.33,41.81,0.7872,N/A (被擠出),0.0057,滿檔換股
1319,2026-01-19,2026-01-21,112.0,107.5,0.7999,N/A (被擠出),-0.0458,滿檔換股
2303,2026-01-21,2026-01-22,70.9,71.5,0.8015,N/A (被擠出),0.0026,滿檔換股
3443,2026-01-22,2026-02-04,2710.0,2690.0,0.8118,N/A (被擠出),-0.0132,滿檔換股
8110,2026-02-04,2026-02-24,66.6,61.0,0.8157,N/A (被擠出),-0.0894,滿檔換股
2360,2026-02-24,2026-03-09,1210.0,1240.0,0.8216,N/A (價格觸發),0.0188,高點回落20%停損
4931,2026-03-10,2026-03-11,123.5,126.0,0.794,N/A (被擠出),0.0143,滿檔換股
0050,2026-03-11,2026-04-09,76.3,79.3,0.798,N/A (被擠出),0.0332,滿檔換股
6274,2026-04-09,2026-04-15,731.0,906.0,0.8034,N/A (被擠出),0.2322,滿檔換股
006208,2026-04-15,2026-05-07,194.2,225.8,0.8245000243186951,N/A (被擠出),0.1559,滿檔換股
3661,2026-05-07,2026-05-14,4770.0,4870.0,0.8346,N/A (被擠出),0.015,滿檔換股
6415,2026-05-14,2026-05-29,492.0,626.0,0.84,N/A (被擠出),0.2649,滿檔換股
6271,2026-05-29,2026-05-29,250.0,247.0,0.8702999949455261,N/A,-0.0178,期末平倉
