股票代號,買進日期,賣出日期,買進價格,賣出價格,做多機率(買進時),做空機率(賣出時),報酬率,賣出原因
3081,2025-02-04,2025-02-06,485.0,469.0,0.758400022983551,N/A (被擠出),-0.0386,滿檔換股
8096,2025-02-06,2025-02-24,50.3,75.0,0.7912999987602234,N/A (被擠出),0.4823,滿檔換股
2049,2025-02-24,2025-03-11,353.5,289.5,0.8040000200271606,N/A (被擠出),-0.1858,滿檔換股
4763,2025-03-11,2025-03-27,1100.0,904.0,0.8324,N/A (價格觸發),-0.183,高點回落20%停損
5530,2025-03-28,2025-04-01,76.4,75.1,0.7212,N/A (被擠出),-0.0228,滿檔換股
2455,2025-04-01,2025-04-08,115.0,93.6,0.7419,N/A (被擠出),-0.1908,滿檔換股
0050,2025-04-08,2025-04-09,151.2,152.5,0.7866,N/A (被擠出),0.0027,滿檔換股
3211,2025-04-09,2025-05-15,133.0,202.5,0.7963,N/A (被擠出),0.5137,滿檔換股
2408,2025-05-15,2025-07-02,45.45,49.2,0.8349999785423279,N/A (價格觸發),0.0762,高點回落20%停損
2368,2025-07-03,2025-07-21,293.5,330.5,0.7932,N/A (被擠出),0.1195,滿檔換股
3017,2025-07-21,2025-08-07,892.0,1030.0,0.7968,N/A (被擠出),0.148,滿檔換股
3081,2025-08-07,2025-10-13,391.5,417.0,0.8704000115394592,N/A (價格觸發),0.0589,高點回落20%停損
6139,2025-10-14,2025-10-17,437.0,433.0,0.8140000104904175,N/A (被擠出),-0.0149,滿檔換股
0050,2025-10-17,2025-12-17,62.05,62.15,0.8432,N/A (被擠出),-0.0042,滿檔換股
4931,2025-12-17,2026-01-12,174.0,159.2,0.8484,N/A (價格觸發),-0.0904,高點回落20%停損
0052,2026-01-13,2026-05-14,41.33,57.0,0.8283,N/A (被擠出),0.3711,滿檔換股
6415,2026-05-14,2026-05-27,492.0,640.0,0.8325,N/A (被擠出),0.2932,滿檔換股
6271,2026-05-27,2026-05-29,262.0,247.0,0.8597000241279602,N/A,-0.0628,期末平倉
