股票代號,買進日期,賣出日期,買進價格,賣出價格,做多機率(買進時),做空機率(賣出時),報酬率,賣出原因
3017,2025/4/29,2025/8/12,478,1085,0.7751,N/A (被擠出),1.2566,滿檔換股
2313,2026/1/5,2026/1/16,95.6,143,0.7588,N/A (被擠出),0.4871,滿檔換股
8064,2026/5/13,2026/5/29,114.5,143,0.7977,N/A,0.2416,期末平倉
8358,2025/12/1,2025/12/12,228.5,280,0.7335,N/A (被擠出),0.2182,滿檔換股
830,2025/4/9,2025/4/10,29.8,35.56,0.7451,N/A (被擠出),0.1863,滿檔換股
6148,2025/4/7,2025/4/9,44.7,53,0.7369,N/A (被擠出),0.1788,滿檔換股
3227,2025/4/10,2025/4/29,190.5,221.5,0.7668,N/A (被擠出),0.1559,滿檔換股
6147,2026/4/30,2026/5/11,164.5,191,0.7872,N/A (被擠出),0.1543,滿檔換股
2367,2026/3/11,2026/4/13,65.3,75.1,0.8003,N/A (被擠出),0.1434,滿檔換股
8028,2025/11/21,2025/12/1,146,161,0.7335,N/A (被擠出),0.0963,滿檔換股
3363,2026/4/13,2026/4/24,780,852,0.8015,N/A (價格觸發),0.0859,高點回落20%停損
3078,2025/2/4,2025/2/5,80.1,86.5,0.7271,N/A (被擠出),0.0736,滿檔換股
3163,2025/12/24,2026/1/5,395,423.5,0.744199991,N/A (被擠出),0.0659,滿檔換股
2409,2026/2/6,2026/2/23,15.3,16.2,0.7854,N/A (被擠出),0.0526,滿檔換股
3576,2026/2/5,2026/2/6,14.75,15.55,0.7645,N/A (被擠出),0.0481,滿檔換股
4576,2025/2/6,2025/2/18,162,166,0.7677,N/A (被擠出),0.0187,滿檔換股
8043,2025/11/20,2025/11/21,73.2,75,0.693,N/A (被擠出),0.0186,滿檔換股
4931,2025/3/12,2025/3/13,86.9,88.7,0.7137,N/A (被擠出),0.0148,滿檔換股
1815,2025/12/23,2025/12/24,87.8,89.1,0.7247,N/A (被擠出),0.0089,滿檔換股
5498,2026/3/10,2026/3/11,57.7,58.1,0.7501,N/A (被擠出),0.0011,滿檔換股
3706,2025/8/12,2025/11/19,86.9,87.2,0.8035,N/A (價格觸發),-0.0024,高點回落20%停損
3294,2025/2/5,2025/2/6,37.65,37.65,0.7369,N/A (被擠出),-0.0058,滿檔換股
2485,2026/5/11,2026/5/13,68.5,68,0.788,N/A (被擠出),-0.0131,滿檔換股
00991A,2026/4/28,2026/4/29,16.73,16.4,0.7682,N/A (被擠出),-0.0255,滿檔換股
2485,2026/4/29,2026/4/30,62.3,60.7,0.782,N/A (被擠出),-0.0314,滿檔換股
3231,2025/12/12,2025/12/16,145,141,0.7373,N/A (被擠出),-0.0333,滿檔換股
00981A,2026/4/27,2026/4/28,28.77,27.9,0.7588,N/A (被擠出),-0.0359,滿檔換股
3450,2025/3/31,2025/4/7,231.5,211,0.7354,N/A (被擠出),-0.0939,滿檔換股
3481,2026/1/16,2026/1/27,25.6,23.32,0.8213,N/A (價格觸發),-0.0944,高點回落20%停損
8422,2026/1/28,2026/2/5,40.2,35.7,0.748700023,N/A (被擠出),-0.1171,滿檔換股
6215,2025/3/13,2025/3/28,99,86,0.782100022,N/A (價格觸發),-0.1364,高點回落20%停損
2344,2026/2/23,2026/3/9,114.5,95.9,0.8038,N/A (價格觸發),-0.1673,高點回落20%停損
3376,2025/2/18,2025/3/11,290.5,242,0.8032,N/A (價格觸發),-0.1718,高點回落20%停損
4157,2025/12/16,2025/12/22,15.2,12.16,0.7631,N/A (價格觸發),-0.2047,高點回落20%停損
