股票代號,買進日期,賣出日期,買進價格,賣出價格,做多機率(買進時),做空機率(賣出時),報酬率,賣出原因
2344,2025/11/26,2026/1/8,57,105.5,0.878000021,0.8539,0.8401,做空模型預警賣出
6217,2026/4/2,2026/4/23,182,305,0.8411,N/A (被擠出),0.666,滿檔換股
6274,2026/4/30,2026/5/29,993,1615,0.84740001,N/A (被擠出),0.6169,滿檔換股
8358,2025/8/20,2025/8/27,161.5,218,0.8403,0.8009,0.342,做空模型預警賣出
2344,2025/10/8,2025/10/30,41.95,55.7,0.8311,N/A (被擠出),0.32,滿檔換股
3017,2025/6/5,2025/7/22,676,875,0.831,N/A (被擠出),0.2868,滿檔換股
3105,2026/1/21,2026/3/5,225.5,283.2,0.8602,N/A (價格觸發),0.2485,高點回落20%停損
2337,2026/3/18,2026/3/20,137,170,0.8316,N/A (被擠出),0.2336,滿檔換股
8358,2025/8/27,2025/9/11,218,266,0.8458,N/A (被擠出),0.2131,滿檔換股
3450,2025/4/9,2025/4/14,171,198,0.8046,0.801,0.1511,做空模型預警賣出
8249,2025/4/23,2025/4/29,41.2,46.5,0.7957,N/A (被擠出),0.122,滿檔換股
3019,2025/2/7,2025/2/18,180.5,200,0.823400021,N/A (被擠出),0.1016,滿檔換股
2367,2026/3/25,2026/3/26,70.5,78,0.7853,N/A (被擠出),0.0999,滿檔換股
2368,2025/4/30,2025/5/8,197.5,216.5,0.8047,0.8041,0.0898,做空模型預警賣出
4958,2026/4/28,2026/4/30,362,393,0.8213,N/A (被擠出),0.0793,滿檔換股
6443,2026/3/13,2026/3/18,50,54.2,0.828299999,N/A (被擠出),0.0777,滿檔換股
6227,2025/3/18,2025/3/19,121,131,0.8099,N/A (被擠出),0.0763,滿檔換股
2359,2025/5/12,2025/5/15,133,141.5,0.8051,N/A (被擠出),0.0577,滿檔換股
6919,2025/6/2,2025/6/5,877,932,0.8133,N/A (被擠出),0.0565,滿檔換股
6768,2025/4/1,2025/4/2,118.5,125.5,0.7736,N/A (被擠出),0.0529,滿檔換股
2308,2025/9/11,2025/10/1,825,870,0.8543,0.8366,0.0484,做空模型預警賣出
2408,2025/10/30,2025/11/21,134.5,141.5,0.873600006,N/A (價格觸發),0.0459,高點回落20%停損
8358,2025/10/2,2025/10/8,244,256.5,0.8205,N/A (被擠出),0.0451,滿檔換股
6770,2026/3/6,2026/3/12,63.9,66.6,0.8176,N/A (被擠出),0.0362,滿檔換股
8150,2026/1/20,2026/1/21,69.7,72,0.8481,N/A (被擠出),0.027,滿檔換股
3264,2025/2/5,2025/2/6,69,71,0.7944,N/A (被擠出),0.023,滿檔換股
1802,2026/3/30,2026/4/2,53,54.5,0.8328,N/A (被擠出),0.0223,滿檔換股
5371,2025/10/1,2025/10/2,110,113,0.815,N/A (被擠出),0.0213,滿檔換股
2605,2026/3/26,2026/3/30,42,42.9,0.8056,N/A (被擠出),0.0155,滿檔換股
6919,2025/5/9,2025/5/12,709,722,0.8099,0.8052,0.0124,做空模型預警賣出
3705,2025/4/16,2025/4/23,64.3,65.4,0.7954,N/A (被擠出),0.0112,滿檔換股
2408,2025/11/24,2025/11/26,141,142.5,0.815699995,N/A (被擠出),0.0047,滿檔換股
2402,2025/3/19,2025/3/25,40.25,40.55,0.81,N/A (被擠出),0.0016,滿檔換股
3019,2025/2/4,2025/2/5,159.5,160.5,0.7853,N/A (被擠出),0.0004,滿檔換股
4541,2025/4/29,2025/4/30,50.8,51,0.8019,N/A (被擠出),-0.0019,滿檔換股
3706,2025/4/15,2025/4/16,51.8,52,0.7868,N/A (被擠出),-0.002,滿檔換股
4967,2026/1/8,2026/1/12,206.5,207,0.8173,N/A (被擠出),-0.0034,滿檔換股
2402,2025/3/17,2025/3/18,40.5,40.35,0.807,N/A (被擠出),-0.0095,滿檔換股
4979,2025/5/15,2025/5/19,169,168,0.8053,N/A (被擠出),-0.0117,滿檔換股
3706,2025/2/6,2025/2/7,70.4,69.8,0.8132,N/A (被擠出),-0.0143,滿檔換股
6877,2025/3/14,2025/3/17,115,113,0.8035,N/A (被擠出),-0.0231,滿檔換股
6558,2025/3/13,2025/3/14,58,56.9,0.7911,N/A (被擠出),-0.0247,滿檔換股
50,2026/3/12,2026/3/13,77.1,75.15,0.8225,N/A (被擠出),-0.031,滿檔換股
3583,2025/4/14,2025/4/15,255,248.5,0.781,N/A (被擠出),-0.0312,滿檔換股
3163,2025/5/8,2025/5/9,154,150,0.7869,N/A (被擠出),-0.0317,滿檔換股
2303,2026/5/29,2026/5/29,149,144.5,0.8583,N/A,-0.0359,期末平倉
3105,2026/1/12,2026/1/20,220,213,0.844500005,N/A (被擠出),-0.0375,滿檔換股
3312,2025/3/12,2025/3/13,64,60.9,0.7843,N/A (被擠出),-0.054,滿檔換股
6187,2025/7/22,2025/8/20,410,385,0.8333,N/A (被擠出),-0.0665,滿檔換股
8072,2025/5/26,2025/6/2,51,46,0.8085,N/A (被擠出),-0.1033,滿檔換股
3379,2025/5/19,2025/5/26,78.5,70.8,0.807,N/A (被擠出),-0.1034,滿檔換股
8383,2025/4/2,2025/4/7,52.1,45.4,0.7892,N/A (被擠出),-0.1337,滿檔換股
3376,2025/2/18,2025/3/11,290.5,242,0.8256,N/A (價格觸發),-0.1718,高點回落20%停損
3081,2025/4/7,2025/4/9,260.5,211.5,0.7984,N/A (被擠出),-0.1928,滿檔換股
3163,2025/3/25,2025/3/31,220,177,0.8249,N/A (價格觸發),-0.2002,高點回落20%停損
3006,2026/3/20,2026/3/24,219,175.2,0.8342,N/A (價格觸發),-0.2047,高點回落20%停損
3081,2026/4/23,2026/4/27,3305,2644,0.8437,N/A (價格觸發),-0.2047,高點回落20%停損
