股票代號,買進日期,賣出日期,買進價,最高價,賣出價,報酬率,備註
5439,2025-09-16,2026-01-05,310.0,380.0,304.0,-0.01935483870967747,移動停損出場
8358,2025-09-17,2025-10-14,209.5,264.5,211.6,0.010023866348448873,移動停損出場
3006,2025-09-22,2025-11-21,80.5,102.5,82.0,0.01863354037267073,移動停損出場
6753,2025-09-23,2025-10-30,151.5,151.5,121.2,-0.19999999999999996,移動停損出場
3211,2025-09-24,2025-10-30,368.0,388.0,310.4,-0.15652173913043466,移動停損出場
4722,2025-10-08,2025-10-27,207.0,216.5,173.2,-0.16328502415458934,移動停損出場
4967,2025-10-08,2025-11-21,108.5,157.5,126.0,0.16129032258064524,移動停損出場
2630,2025-10-14,2025-11-17,56.1,59.8,47.84,-0.14723707664884134,移動停損出場
4989,2025-10-15,2025-11-18,37.5,52.8,42.24,0.12640000000000007,移動停損出場
2408,2025-10-20,2025-11-21,107.0,178.5,141.5,0.32242990654205617,移動停損出場
2344,2025-10-22,2025-11-20,45.45,69.1,55.28,0.21628162816281615,移動停損出場
2402,2025-10-22,2025-12-18,51.3,68.6,54.88,0.06978557504873284,移動停損出場
2645,2025-10-22,2026-02-11,153.0,185.5,164.5,0.07516339869281041,期末強制平倉
2481,2025-10-23,2025-11-03,98.0,101.0,79.5,-0.18877551020408168,移動停損出場
8054,2025-10-23,2025-11-05,140.5,148.0,118.4,-0.1572953736654804,移動停損出場
6290,2025-10-28,2025-12-05,179.0,207.0,165.6,-0.07486033519553059,移動停損出場
6257,2025-10-31,2025-12-02,104.5,115.5,92.4,-0.11578947368421044,移動停損出場
3167,2025-11-04,2026-02-02,193.5,253.5,202.8,0.04806201550387601,移動停損出場
1519,2025-11-05,2026-02-11,785.0,1100.0,967.0,0.23184713375796173,期末強制平倉
2421,2025-11-10,2025-12-15,176.5,195.0,155.5,-0.11898016997167138,移動停損出場
2314,2025-11-12,2026-01-13,25.15,25.6,20.48,-0.18568588469184866,移動停損出場
2492,2025-11-13,2026-02-02,130.5,165.5,132.0,0.011494252873563315,移動停損出場
1303,2025-11-14,2026-02-11,55.6,83.5,78.8,0.41726618705035956,期末強制平倉
6209,2025-11-17,2026-02-02,53.7,80.5,64.4,0.1992551210428306,移動停損出場
3450,2025-12-04,2026-02-11,251.5,289.0,243.0,-0.03379721669980118,期末強制平倉
3163,2025-12-05,2026-01-13,327.0,428.5,342.8,0.04831804281345575,移動停損出場
2344,2025-12-08,2026-02-03,67.9,136.0,108.8,0.6023564064801179,移動停損出場
4967,2025-12-09,2026-02-06,142.0,266.5,213.2,0.5014084507042256,移動停損出場
8021,2025-12-15,2026-02-02,167.0,247.5,196.5,0.17664670658682624,移動停損出場
5521,2026-01-02,2026-01-23,24.35,27.9,22.32,-0.08336755646817251,移動停損出場
2467,2026-01-05,2026-02-11,279.5,298.0,273.0,-0.023255813953488413,期末強制平倉
6770,2026-01-05,2026-02-11,43.45,70.7,63.1,0.4522439585730724,期末強制平倉
2337,2026-01-06,2026-02-11,52.4,98.5,98.5,0.8797709923664123,期末強制平倉
6274,2026-01-06,2026-02-11,476.0,552.0,532.0,0.11764705882352944,期末強制平倉
8110,2026-01-06,2026-02-03,73.4,88.0,70.4,-0.04087193460490468,移動停損出場
00830,2026-01-07,2026-02-11,62.15,64.9,56.8,-0.08608205953338699,期末強制平倉
5498,2026-01-07,2026-01-26,51.5,76.0,60.8,0.18058252427184485,移動停損出場
8422,2026-01-08,2026-01-19,35.5,51.9,38.85,0.09436619718309869,移動停損出場
6443,2026-01-09,2026-02-11,31.65,46.2,36.96,0.1677725118483413,移動停損出場
1717,2026-01-12,2026-02-02,54.1,72.2,57.76,0.06765249537892792,移動停損出場
3006,2026-01-12,2026-02-06,146.0,196.5,157.2,0.07671232876712342,移動停損出場
3532,2026-01-13,2026-02-06,125.5,161.0,128.8,0.02629482071713163,移動停損出場
8033,2026-01-15,2026-02-06,154.0,166.0,132.8,-0.1376623376623376,移動停損出場
2371,2026-01-16,2026-02-06,38.85,44.5,35.6,-0.08365508365508367,移動停損出場
6257,2026-01-16,2026-02-11,137.5,141.0,127.5,-0.07272727272727275,期末強制平倉
2409,2026-01-19,2026-01-28,17.25,17.5,14.0,-0.18840579710144922,移動停損出場
2406,2026-01-20,2026-02-11,31.2,33.45,29.55,-0.05288461538461531,期末強制平倉
5340,2026-01-22,2026-02-09,100.5,124.5,99.6,-0.008955223880596885,移動停損出場
6239,2026-01-22,2026-02-11,257.5,280.0,243.0,-0.05631067961165048,期末強制平倉
6548,2026-01-22,2026-02-05,58.6,65.0,51.6,-0.11945392491467577,移動停損出場
3163,2026-01-23,2026-02-11,382.0,593.0,589.0,0.5418848167539267,期末強制平倉
6488,2026-01-23,2026-02-11,528.0,529.0,445.5,-0.15625,期末強制平倉
1605,2026-01-26,2026-02-03,40.2,46.5,37.2,-0.07462686567164178,移動停損出場
1802,2026-01-26,2026-02-10,51.8,53.5,42.8,-0.17374517374517362,移動停損出場
8996,2026-01-26,2026-02-11,730.0,958.0,906.0,0.2410958904109588,期末強制平倉
00708L,2026-01-28,2026-02-02,131.1,145.65,106.1,-0.19069412662090013,移動停損出場
1514,2026-01-28,2026-02-11,138.5,140.0,122.0,-0.11913357400722024,期末強制平倉
3081,2026-01-28,2026-02-11,900.0,1150.0,1085.0,0.2055555555555555,期末強制平倉
3189,2026-01-28,2026-02-11,243.5,274.5,265.5,0.09034907597535935,期末強制平倉
2312,2026-01-29,2026-02-11,27.45,27.45,24.1,-0.12204007285974494,期末強制平倉
6223,2026-01-29,2026-02-11,2595.0,2895.0,2790.0,0.07514450867052025,期末強制平倉
5351,2026-01-30,2026-02-11,61.2,61.2,55.7,-0.08986928104575165,期末強制平倉
6196,2026-01-30,2026-02-11,284.0,287.0,263.0,-0.073943661971831,期末強制平倉
3049,2026-02-02,2026-02-11,10.2,11.15,9.25,-0.09313725490196068,期末強制平倉
00738U,2026-02-03,2026-02-06,68.25,73.1,56.95,-0.16556776556776553,移動停損出場
2409,2026-02-03,2026-02-11,13.8,16.4,16.15,0.17028985507246364,期末強制平倉
6830,2026-02-05,2026-02-11,227.5,231.5,218.5,-0.03956043956043953,期末強制平倉
3711,2026-02-09,2026-02-11,327.0,359.0,354.5,0.08409785932721703,期末強制平倉
3234,2026-02-10,2026-02-11,76.0,78.3,76.4,0.0052631578947368585,期末強制平倉
