股票代號,買進日期,賣出日期,買進價格,賣出價格,做多機率(買進時),做空機率(賣出時),報酬率,賣出原因
2233,2025-02-04,2025-02-05,217.0,213.0,0.746999979019165,N/A (被擠出),-0.0242,滿檔換股
3081,2025-02-05,2025-02-06,450.0,469.0,0.7503,N/A (被擠出),0.0361,滿檔換股
8096,2025-02-06,2025-02-21,50.3,73.0,0.7842000126838684,N/A (被擠出),0.4428,滿檔換股
2049,2025-02-21,2025-03-10,356.5,290.0,0.8125,N/A (價格觸發),-0.1913,高點回落20%停損
4763,2025-03-11,2025-03-27,1100.0,904.0,0.8448,N/A (價格觸發),-0.183,高點回落20%停損
5530,2025-03-28,2025-04-08,76.4,73.7,0.7713000178337097,N/A (被擠出),-0.041,滿檔換股
6719,2025-04-08,2025-04-09,153.5,152.5,0.799,N/A (被擠出),-0.0123,滿檔換股
3211,2025-04-09,2025-05-16,133.0,204.0,0.8153,N/A (被擠出),0.5249,滿檔換股
2408,2025-05-16,2025-07-02,45.3,49.2,0.84579998254776,N/A (價格觸發),0.0797,高點回落20%停損
2368,2025-07-03,2025-07-18,293.5,321.5,0.8016,N/A (被擠出),0.089,滿檔換股
8046,2025-07-18,2025-07-21,168.0,170.5,0.8038,N/A (被擠出),0.009,滿檔換股
3017,2025-07-21,2025-08-07,892.0,1030.0,0.8197,N/A (被擠出),0.148,滿檔換股
3081,2025-08-07,2025-10-13,391.5,417.0,0.8675000071525574,N/A (價格觸發),0.0589,高點回落20%停損
0050,2025-10-14,2025-10-16,61.85,62.1,0.8245999813079834,N/A (被擠出),-0.0018,滿檔換股
6139,2025-10-16,2025-10-17,458.5,433.0,0.8335,N/A (被擠出),-0.0611,滿檔換股
0050,2025-10-17,2026-05-14,62.05,96.9,0.8401,N/A (被擠出),0.5525,滿檔換股
6415,2026-05-14,2026-05-28,492.0,667.0,0.8478,N/A (被擠出),0.3478,滿檔換股
6271,2026-05-28,2026-05-29,252.5,247.0,0.882099986076355,N/A,-0.0275,期末平倉
