股票代號,買進日期,賣出日期,買進價格,賣出價格,做多機率(買進時),做空機率(賣出時),報酬率,賣出原因
3081,2025-02-04,2025-02-07,485.0,471.0,0.7515000104904175,N/A (被擠出),-0.0345,滿檔換股
4576,2025-02-07,2025-02-10,166.5,168.0,0.7566,N/A (被擠出),0.0031,滿檔換股
8096,2025-02-10,2025-02-18,55.0,72.0,0.7573,N/A (被擠出),0.3014,滿檔換股
2395,2025-02-18,2025-02-24,400.0,414.5,0.7585,N/A (被擠出),0.0302,滿檔換股
2049,2025-02-24,2025-03-11,353.5,289.2,0.7837,N/A (價格觸發),-0.1867,高點回落20%停損
4763,2025-03-12,2025-03-13,1105.0,1120.0,0.7269,N/A (被擠出),0.0077,滿檔換股
2344,2025-03-13,2025-03-19,21.4,20.45,0.754,N/A (被擠出),-0.05,滿檔換股
5530,2025-03-19,2025-04-07,82.9,69.3,0.7670999765396118,N/A (價格觸發),-0.1689,高點回落20%停損
3211,2025-04-08,2025-05-15,142.0,202.5,0.8058000206947327,N/A (被擠出),0.4177,滿檔換股
2408,2025-05-15,2025-07-02,45.45,49.2,0.8460000157356262,N/A (價格觸發),0.0762,高點回落20%停損
6719,2025-07-03,2025-07-07,203.0,196.5,0.7613000273704529,N/A (被擠出),-0.0377,滿檔換股
8996,2025-07-07,2025-07-09,247.0,256.0,0.767,N/A (被擠出),0.0304,滿檔換股
8046,2025-07-09,2025-08-01,126.0,174.5,0.7893999814987183,N/A (被擠出),0.3768,滿檔換股
3017,2025-08-01,2025-08-08,901.0,1045.0,0.8075,N/A (被擠出),0.153,滿檔換股
3081,2025-08-08,2025-10-13,390.0,417.0,0.8374999761581421,N/A (價格觸發),0.063,高點回落20%停損
6139,2025-10-14,2025-12-17,437.0,610.0,0.8052999973297119,N/A (被擠出),0.3877,滿檔換股
4931,2025-12-17,2026-01-12,174.0,159.2,0.8159,N/A (價格觸發),-0.0904,高點回落20%停損
3715,2026-01-13,2026-01-15,146.5,132.5,0.7683,N/A (被擠出),-0.1008,滿檔換股
1802,2026-01-15,2026-01-16,34.8,40.5,0.7701,N/A (被擠出),0.157,滿檔換股
2409,2026-01-16,2026-01-21,15.4,16.3,0.777400016784668,N/A (被擠出),0.0523,滿檔換股
2303,2026-01-21,2026-01-26,70.9,66.0,0.8061,N/A (被擠出),-0.0745,滿檔換股
1802,2026-01-26,2026-02-05,50.0,51.6,0.8064,N/A (被擠出),0.026,滿檔換股
1519,2026-02-05,2026-02-24,982.0,975.0,0.8137,N/A (被擠出),-0.0129,滿檔換股
2360,2026-02-24,2026-02-26,1210.0,1380.0,0.8159,N/A (被擠出),0.1338,滿檔換股
2409,2026-02-26,2026-03-27,16.25,14.4,0.8466,N/A (價格觸發),-0.119,高點回落20%停損
6274,2026-03-30,2026-03-31,606.0,598.0,0.7737,N/A (被擠出),-0.019,滿檔換股
3017,2026-03-31,2026-04-08,2100.0,2200.0,0.7861,N/A (被擠出),0.0415,滿檔換股
6274,2026-04-08,2026-04-14,723.0,839.0,0.8136000037193298,0.8294,0.1537,做空模型預警賣出
6274,2026-04-14,2026-04-27,839.0,1080.0,0.8102,0.808,0.2797,做空模型預警賣出
6196,2026-04-27,2026-04-29,391.5,381.0,0.7774,N/A (被擠出),-0.0325,滿檔換股
3017,2026-04-29,2026-04-30,2735.0,2840.0,0.7832,N/A (被擠出),0.0323,滿檔換股
2454,2026-04-30,2026-05-05,2665.0,3155.0,0.789,N/A (被擠出),0.1769,滿檔換股
6415,2026-05-05,2026-05-06,430.0,450.0,0.7932,N/A (被擠出),0.0404,滿檔換股
2303,2026-05-06,2026-05-07,88.5,97.4,0.7976,N/A (被擠出),0.0941,滿檔換股
3661,2026-05-07,2026-05-12,4770.0,5555.0,0.814,N/A (被擠出),0.1578,滿檔換股
6415,2026-05-12,2026-06-01,488.0,600.0,0.8309000134468079,N/A (被擠出),0.2223,滿檔換股
6271,2026-06-01,2026-05-29,252.0,247.0,0.8377,N/A,-0.0256,期末平倉
