股票代號,買進日期,賣出日期,買進價格,賣出價格,做多機率(買進時),做空機率(賣出時),報酬率,賣出原因
3081,2025-02-04,2025-02-07,485.0,471.0,0.7613999843597412,N/A (被擠出),-0.0345,滿檔換股
4576,2025-02-07,2025-02-21,166.5,162.0,0.7825999855995178,N/A (被擠出),-0.0327,滿檔換股
2049,2025-02-21,2025-03-10,356.5,290.0,0.8022000193595886,N/A (價格觸發),-0.1913,高點回落20%停損
4763,2025-03-11,2025-03-27,1100.0,904.0,0.8209,N/A (價格觸發),-0.183,高點回落20%停損
5530,2025-03-28,2025-04-08,76.4,73.7,0.7653999924659729,N/A (被擠出),-0.041,滿檔換股
3211,2025-04-08,2025-05-21,142.0,211.0,0.8237000107765198,N/A (被擠出),0.4772,滿檔換股
2408,2025-05-21,2025-07-02,45.4,49.2,0.8285,N/A (價格觸發),0.0774,高點回落20%停損
8996,2025-07-03,2025-07-08,260.0,242.5,0.7781,N/A (被擠出),-0.0728,滿檔換股
8046,2025-07-08,2025-07-31,120.5,179.0,0.7911999821662903,N/A (被擠出),0.4768,滿檔換股
3017,2025-07-31,2025-08-07,880.0,1030.0,0.7993999719619751,N/A (被擠出),0.1636,滿檔換股
3081,2025-08-07,2025-10-13,391.5,417.0,0.8646000027656555,N/A (價格觸發),0.0589,高點回落20%停損
0050,2025-10-14,2025-12-17,61.85,62.15,0.8421000242233276,N/A (被擠出),-0.001,滿檔換股
4931,2025-12-17,2026-01-12,174.0,159.2,0.8459,N/A (價格觸發),-0.0904,高點回落20%停損
0052,2026-01-13,2026-01-19,41.33,41.81,0.7795,N/A (被擠出),0.0057,滿檔換股
1319,2026-01-19,2026-01-20,112.0,110.0,0.7806,N/A (被擠出),-0.0236,滿檔換股
1519,2026-01-20,2026-01-26,960.0,1030.0,0.793,N/A (被擠出),0.0666,滿檔換股
1802,2026-01-26,2026-01-29,50.0,52.5,0.8112,N/A (被擠出),0.0439,滿檔換股
4979,2026-01-29,2026-02-06,330.0,320.0,0.8118,N/A (被擠出),-0.036,滿檔換股
1519,2026-02-06,2026-03-09,949.0,850.0,0.8149,N/A (價格觸發),-0.1096,高點回落20%停損
4931,2026-03-10,2026-03-31,123.5,131.6,0.8105000257492065,N/A (價格觸發),0.0594,高點回落20%停損
6830,2026-04-01,2026-04-07,505.0,611.0,0.7923,N/A (被擠出),0.2028,滿檔換股
1795,2026-04-07,2026-04-08,221.0,216.0,0.8134,N/A (被擠出),-0.0283,滿檔換股
3163,2026-04-08,2026-04-27,1110.0,1052.0,0.8257,N/A (價格觸發),-0.0578,高點回落20%停損
3714,2026-04-28,2026-04-30,65.9,75.0,0.7985,N/A (被擠出),0.1314,滿檔換股
8358,2026-04-30,2026-05-08,374.0,473.0,0.8058,N/A (被擠出),0.2573,滿檔換股
2303,2026-05-08,2026-05-14,96.5,102.0,0.8277000188827515,N/A (被擠出),0.0508,滿檔換股
6415,2026-05-14,2026-05-28,492.0,667.0,0.838,N/A (被擠出),0.3478,滿檔換股
6271,2026-05-28,2026-05-29,252.5,247.0,0.867900013923645,N/A,-0.0275,期末平倉
