股票代號,買進日期,賣出日期,買進價格,賣出價格,做多機率(買進時),做空機率(賣出時),報酬率,賣出原因
2356,2025-02-04,2025-02-07,46.75,45.8,0.734,N/A (被擠出),-0.026,滿檔換股
3019,2025-02-07,2025-02-11,180.5,183.5,0.7439000010490417,0.804,0.0107,做空模型預警賣出
6139,2025-02-11,2025-02-12,246.0,246.0,0.7271,N/A (被擠出),-0.0058,滿檔換股
6919,2025-02-12,2025-02-14,929.0,950.0,0.7316,N/A (被擠出),0.0166,滿檔換股
3661,2025-02-14,2025-03-03,3675.0,3028.0,0.7425,N/A (價格觸發),-0.1809,高點回落20%停損
5871,2025-03-04,2025-04-08,127.0,100.5,0.7451,N/A (價格觸發),-0.2133,高點回落20%停損
6148,2025-04-09,2025-04-25,53.0,70.1,0.7197,N/A (被擠出),0.3149,滿檔換股
5388,2025-04-25,2025-05-09,103.0,101.0,0.7338,N/A (被擠出),-0.0251,滿檔換股
3081,2025-05-09,2025-05-28,263.0,290.0,0.7392,N/A (被擠出),0.0962,滿檔換股
2308,2025-05-28,2026-05-20,371.0,1880.0,0.7595,N/A (價格觸發),4.0378,高點回落20%停損
6531,2026-05-21,2026-05-22,995.0,919.0,0.7396,N/A (被擠出),-0.0818,滿檔換股
4956,2026-05-22,2026-05-26,44.8,53.0,0.7418,N/A (被擠出),0.1761,滿檔換股
2355,2026-05-26,2026-05-29,67.5,62.5,0.742,N/A (被擠出),-0.0795,滿檔換股
2441,2026-05-29,2026-05-29,143.5,141.5,0.7459,N/A,-0.0197,期末平倉
