股票代號,買進日期,賣出日期,買進價格,賣出價格,做多機率(買進時),做空機率(賣出時),報酬率,賣出原因
4979,2025-01-03,2025-01-06,194.5,207.5,0.7513,N/A (被擠出),0.0606,滿檔換股
3450,2025-01-06,2025-01-07,285.0,281.0,0.7634,0.8787,-0.0198,做空模型預警賣出
3450,2025-01-07,2025-01-08,281.0,284.5,0.7379,0.8656,0.0065,做空模型預警賣出
3450,2025-01-08,2025-01-09,284.5,310.0,0.7723,0.8344,0.0833,做空模型預警賣出
4979,2025-01-09,2025-02-14,207.5,227.0,0.7882,0.8075,0.0876,做空模型預警賣出
3019,2025-02-14,2025-02-17,200.5,200.0,0.7661,N/A (被擠出),-0.0083,滿檔換股
6919,2025-02-17,2025-03-10,950.0,908.0,0.7786999940872192,0.8184,-0.0498,做空模型預警賣出
2606,2025-03-10,2025-03-11,73.2,72.1,0.7476,N/A (被擠出),-0.0208,滿檔換股
4931,2025-03-11,2025-03-13,81.0,88.7,0.7666,N/A (被擠出),0.0887,滿檔換股
3019,2025-03-13,2025-03-14,157.5,155.5,0.7669,0.8153,-0.0185,做空模型預警賣出
3019,2025-03-14,2025-03-17,155.5,158.5,0.7674,0.8449,0.0133,做空模型預警賣出
3019,2025-03-17,2025-03-18,158.5,156.0,0.7556,0.8349,-0.0215,做空模型預警賣出
8096,2025-03-18,2025-03-21,77.8,72.1,0.7478,N/A (被擠出),-0.0787,滿檔換股
2344,2025-03-21,2025-03-26,21.1,19.55,0.7566,N/A (被擠出),-0.0789,滿檔換股
4541,2025-03-26,2025-03-27,51.1,51.1,0.7574,0.8077,-0.0058,做空模型預警賣出
9958,2025-03-27,2025-04-01,184.5,160.5,0.7457,N/A (被擠出),-0.1352,滿檔換股
4979,2025-04-01,2025-04-08,172.0,136.5,0.7475,N/A (價格觸發),-0.211,高點回落20%停損
6187,2025-04-09,2025-04-11,205.0,215.0,0.7294999957084656,N/A (被擠出),0.0427,滿檔換股
9958,2025-04-11,2025-04-14,141.0,158.0,0.7339,N/A (被擠出),0.114,滿檔換股
3450,2025-04-14,2025-04-17,198.0,199.5,0.7355,N/A (被擠出),0.0017,滿檔換股
3706,2025-04-17,2025-04-18,50.1,50.8,0.7356,N/A (被擠出),0.008,滿檔換股
3450,2025-04-18,2025-04-22,198.0,179.5,0.7667999863624573,N/A (被擠出),-0.0987,滿檔換股
3363,2025-04-22,2025-04-28,158.0,173.5,0.7849,0.8207,0.0917,做空模型預警賣出
3163,2025-04-28,2025-04-29,157.0,157.0,0.769,0.8166,-0.0058,做空模型預警賣出
3163,2025-04-29,2025-04-30,157.0,162.0,0.7515,0.8519,0.0258,做空模型預警賣出
3450,2025-04-30,2025-05-02,211.0,212.0,0.7453,0.8425,-0.0011,做空模型預警賣出
4979,2025-05-02,2025-05-12,157.5,170.0,0.7699000239372253,N/A (被擠出),0.0731,滿檔換股
3017,2025-05-12,2025-06-24,535.0,742.0,0.7835999727249146,N/A (被擠出),0.3788,滿檔換股
3661,2025-06-24,2025-06-25,2870.0,2820.0,0.787,0.8181,-0.0232,做空模型預警賣出
3017,2025-06-25,2025-07-11,747.0,840.0,0.7651,N/A (被擠出),0.1179,滿檔換股
6274,2025-07-11,2025-07-17,256.0,260.5,0.7667,N/A (被擠出),0.0116,滿檔換股
8046,2025-07-17,2025-07-22,175.0,169.5,0.7768,N/A (被擠出),-0.0371,滿檔換股
2404,2025-07-22,2025-08-01,762.0,784.0,0.7836,N/A (被擠出),0.0229,滿檔換股
3017,2025-08-01,2025-08-07,901.0,1030.0,0.785099983215332,N/A (被擠出),0.1365,滿檔換股
2404,2025-08-07,2025-09-11,875.0,1070.0,0.7925,N/A (被擠出),0.2157,滿檔換股
8358,2025-09-11,2025-09-12,266.0,251.0,0.8037,0.8653,-0.0619,做空模型預警賣出
8358,2025-09-12,2025-09-15,251.0,223.0,0.8,0.8282,-0.1167,做空模型預警賣出
8358,2025-09-15,2025-09-16,223.0,210.5,0.7995,0.8279,-0.0616,做空模型預警賣出
8358,2025-09-16,2025-09-22,210.5,234.0,0.7854,0.8255,0.1051,做空模型預警賣出
8358,2025-09-22,2025-09-23,234.0,259.0,0.7676,0.8471,0.1004,做空模型預警賣出
8358,2025-09-23,2025-09-24,259.0,236.5,0.7961,0.8689,-0.0922,做空模型預警賣出
1815,2025-09-24,2025-09-25,67.0,65.0,0.7702000141143799,N/A (被擠出),-0.0355,滿檔換股
3324,2025-09-25,2025-09-26,865.0,860.0,0.7714,0.8183,-0.0116,做空模型預警賣出
8358,2025-09-26,2025-09-30,230.0,227.0,0.794,0.8588,-0.0188,做空模型預警賣出
8358,2025-09-30,2025-10-01,227.0,233.5,0.7767000198364258,N/A (被擠出),0.0226,滿檔換股
1815,2025-10-01,2025-10-02,66.4,68.5,0.7876,N/A (被擠出),0.0256,滿檔換股
8358,2025-10-02,2025-10-03,244.0,234.0,0.7896,0.8583,-0.0466,做空模型預警賣出
8021,2025-10-03,2025-10-07,118.5,120.5,0.779,0.8259,0.0109,做空模型預警賣出
8021,2025-10-07,2025-10-09,120.5,118.0,0.7909,0.8029,-0.0265,做空模型預警賣出
6770,2025-10-09,2025-10-13,31.5,27.55,0.7916,0.8014,-0.1305,做空模型預警賣出
8033,2025-10-13,2025-10-14,135.0,146.0,0.783,N/A (被擠出),0.0752,滿檔換股
6770,2025-10-14,2025-10-27,30.6,30.5,0.7936,0.8268,-0.0091,做空模型預警賣出
6223,2025-10-27,2025-10-28,1885.0,1950.0,0.7772,N/A (被擠出),0.0284,滿檔換股
2408,2025-10-28,2025-10-29,124.0,132.0,0.7921,0.8181,0.0583,做空模型預警賣出
2408,2025-10-29,2025-11-04,132.0,141.0,0.7937,0.8074,0.0619,做空模型預警賣出
2408,2025-11-04,2025-11-07,141.0,148.5,0.7914,0.8103,0.047,做空模型預警賣出
2408,2025-11-07,2025-11-10,148.5,153.0,0.7974,0.8057,0.0243,做空模型預警賣出
2408,2025-11-10,2025-11-13,153.0,164.5,0.7897,0.8261,0.0689,做空模型預警賣出
2408,2025-11-13,2025-11-17,164.5,170.0,0.791700005531311,0.8286,0.0274,做空模型預警賣出
